Date,Engin,PU,Montant,Quantite_L
2025-11-23,BG2543,775.0,20002.75,25.81
2025-11-23,BG4925,775.0,20000.0,25.806451612903224
2025-11-23,BG4925MD,775.0,20000.0,25.806451612903224
2025-11-23,BG4925MD,775.0,23250.0,30.0
